t_index	term	df
3629	czaristera	1
3630	czech	14
3631	czechoslovakian	1
3632	d	12
3633	da	2
3634	dad	11
3635	dada	1
3636	dadiv	1
3637	daejung	5
3638	daewoo	5
3639	dagestan	3
3640	dagger	3
3641	daili	29
3642	daja	2
3643	dakota	19
3644	dakotan	1
3645	dakouri	1
3646	dalal	1
3647	dale	2
3648	daley	7
3649	dalla	30
3650	dallasarea	5
3651	dallasbas	2
3652	dallasfort	2
3653	dalworthington	1
3654	dam	1
3655	damag	153
3656	damascu	2
3657	dame	1
3658	damir	3
3659	dammaj	1
3660	damor	1
3661	damp	1
3662	dampen	2
3663	dan	18
3664	dana	2
3665	danah	4
3666	danburi	1
3667	danc	11
3668	dancer	3
3669	dandelion	1
3670	dane	1
3671	danewich	1
3672	danforth	3
3673	danger	103
3674	dangl	2
3675	daniel	19
3676	daniela	6
3677	daniil	2
3678	danni	1
3679	danzig	4
3680	daoud	1
3681	dapist	1
3682	dar	5
3683	darden	1
3684	dare	15
3685	daren	7
3686	dark	28
3687	darken	3
3688	darkhair	2
3689	darl	1
3690	darn	1
3691	darrel	2
3692	dart	1
3693	darwinian	1
3694	daschl	11
3695	dash	4
3696	dashboard	1
3697	data	4
3698	date	27
3699	datelin	7
3700	daughter	54
3701	daughterinlaw	2
3702	daunt	6
3703	dave	18
3704	davenport	44
3705	davi	4
3706	david	58
3707	davidian	2
3708	davidstyl	1
3709	dawn	21
3710	day	456
3711	daybreak	3
3712	daybyday	1
3713	dayeb	1
3714	daylight	4
3715	daytoday	2
3716	dayton	9
3717	daytona	1
3718	daytonhudson	3
3719	daze	4
3720	dazesurvivor	1
3721	dc	13
3722	dc10	1
3723	dcalif	1
3724	dconn	3
3725	dd21	1
3726	dday	1
3727	dea	1
3728	deactiv	2
3729	dead	164
3730	deadli	53
3731	deadliest	16
3732	deadlin	13
3733	deadlock	3
3734	deadon	1
3735	deaf	1
3736	deal	97
3737	dealt	6
3738	dean	5
3739	dear	5
3740	dearborn	1
3741	dearli	3
3742	death	210
3743	deathdefi	1
3744	deathrow	1
3745	debar	1
3746	debat	65
3747	debbi	5
3748	deborah	3
3749	debra	2
3750	debri	47
3751	debt	14
3752	debut	1
3753	dec	48
3754	decad	81
3755	decadesold	2
3756	decay	2
3757	deceas	8
3758	deceit	1
3759	decemb	79
3760	decent	2
3761	decentr	3
3762	decept	1
3763	decibel	1
3764	decid	103
3765	decidedli	1
3766	decis	173
3767	decisionmak	2
3768	deck	44
3769	declar	99
3770	declassifi	2
3771	declin	48
3772	decod	2
3773	decompos	1
3774	decor	2
3775	decrat	2
3776	decre	2
3777	decri	3
3778	ded	1
3779	dedic	9
3780	dedinj	5
3781	dee	1
3782	deed	3
3783	deem	8
3784	deep	42
3785	deepen	5
3786	deeper	3
3787	deepest	1
3788	deepli	23
3789	deepsea	4
3790	deepseat	2
3791	deepwat	6
3792	defac	1
3793	default	2
3794	defeat	143
3795	defect	2
3796	defenc	3
3797	defend	121
3798	defens	153
3799	defer	2
3800	defi	5
3801	defianc	7
3802	defiant	6
3803	defiantli	2
3804	defici	1
3805	deficit	11
3806	defin	7
3807	definit	37
3808	deflat	1
3809	deflect	5
3810	defoli	1
3811	defolt	1
3812	deforest	10
3813	defraud	3
3814	defunct	1
3815	defus	3
3816	degr	1
3817	degrad	4
3818	degre	23
3819	dehuman	1
3820	dehydr	3
3821	del	11
3822	delawar	25
3823	delay	34
3824	deleg	10
3825	delhi	17
3826	deli	1
3827	deliber	15
3828	delic	7
3829	delici	1
3830	delight	5
3831	deliv	36
3832	deliveri	2
3833	dell	1
3834	delsaut	2
3835	delta	9
3836	delus	2
3837	delv	1
3838	demaci	1
3839	demagogu	2
3840	demand	75
3841	demarc	1
3842	demean	1
3843	demeanor	2
3844	dementieva	5
3845	demick	1
3846	demilitar	1
3847	demis	6
3848	democraci	71
3849	democrat	188
3850	democratich	1
3851	demograph	1
3852	demolish	4
3853	demolit	5
3854	demon	4
3855	demonstr	88
3856	demot	2
3857	demur	1
3858	demystifi	1
3859	dengu	1
3860	deni	95
3861	denial	5
3862	denigr	1
3863	denis	14
3864	denisa	3
3865	denn	1
3866	denni	8
3867	denomin	1
3868	denounc	13
3869	dens	4
3870	dent	2
3871	dental	1
3872	denver	21
3873	depart	180
3874	departur	20
3875	depend	34
3876	depict	1
3877	deplan	1
3878	deplet	2
3879	deplor	2
3880	deploy	22
3881	deport	3
3882	deportieren	1
3883	depos	7
3884	deposit	4
3885	depot	4
3886	depress	3
3887	depriv	1
3888	depth	12
3889	deputi	46
3890	dequia	2
3891	derail	1
3892	derelict	1
3893	deriv	3
3894	desai	1
3895	descend	18
3896	descent	9
3897	describ	80
3898	descript	8
3899	desegreg	1
3900	desert	31
3901	desertstyl	3
3902	deserv	15
3903	deservedli	2
3904	design	34
3905	designe	1
3906	desir	15
3907	desirepaulin	1
3908	desist	3
3909	desk	6
3910	desol	1
3911	despair	6
3912	desper	39
3913	despic	12
3914	despis	3
3915	despit	115
3916	despot	1
3917	destabil	3
3918	destin	10
3919	destini	1
3920	destitut	1
3921	destroy	227
3922	destruct	27
3923	desvid	1
3924	detach	3
3925	detain	31
3926	detaine	2
3927	detat	7
3928	detect	14
3929	detector	1
3930	detent	10
3931	deter	15
3932	deterg	1
3933	deterior	11
3934	determin	101
3935	deterr	2
3936	detest	1
3937	deton	30
3938	detour	4
3939	detritu	1
3940	detroit	3
3941	deuc	12
3942	deutch	8
3943	deutsch	1
3944	devast	58
3945	devastatingli	1
3946	develop	97
3947	deviat	1
3948	devic	15
3949	devilish	1
3950	devis	1
3951	devot	15
3952	devour	2
3953	devoutli	1
3954	dewat	2
3955	dewin	2
3956	dga	2
3957	dhabi	4
3958	dhahran	12
3959	dharan	1
3960	dhingra	1
3961	dhrumal	1
3962	diabak	1
3963	diagnos	5
3964	diagnosi	1
3965	diagnost	1
3966	diagnostico	1
3967	diagram	1
3968	dialect	1
3969	diallo	2
3970	dialo	3
3971	dialogu	8
3972	diamet	3
3973	diamond	3
3974	dian	2
3975	diann	3
3976	diari	1
3977	diarrhea	2
3978	diaz	2
3979	dick	36
3980	dickinson	1
3981	dictablanda	1
3982	dictadura	1
3983	dictat	29
3984	dictatori	3
3985	dictatorship	10
3986	diction	4
3987	dictionari	1
3988	dictment	1
3989	did	308
3990	didnt	128
3991	die	192
3992	diego	5
3993	dienstbier	2
3994	diesel	2
3995	diet	3
3996	differ	107
3997	difficult	84
3998	difficulti	21
3999	diffus	1
4000	dig	49
4001	digest	1
4002	digger	3
4003	digit	2
4004	dignitari	5
4005	digniti	8
4006	dilapid	1
4007	dilemma	4
4008	dilfer	1
4009	dilig	1
4010	dilut	1
4011	dime	1
4012	dimens	2
4013	diminish	5
4014	diminut	1
4015	dimitr	1
4016	dimitri	2
4017	dimmer	1
4018	dina	1
4019	dinar	2
4020	dind	3
4021	dine	8
4022	dinghi	4
4023	dingi	1
4024	dinh	2
4025	dinkic	3
4026	dinner	10
4027	dioulo	1
4028	dip	2
4029	diplomaci	8
4030	diplomat	69
4031	diplospeak	4
4032	dire	1
4033	direct	75
4034	directli	40
4035	director	101
4036	directorgener	2
4037	diring	1
4038	dirksen	1
4039	dirt	33
4040	dirtentrust	1
4041	dirti	11
4042	dirtpack	1
4043	dirtpoor	3
4044	disabl	4
4045	disadvantag	1
4046	disaffect	1
4047	disagr	3
4048	disagre	8
4049	disappear	23
4050	disappoint	25
4051	disapprov	1
4052	disarm	1
4053	disarma	1
4054	disarray	2
4055	disassembl	1
4056	disast	76
4057	disastr	8
4058	disband	6
4059	disbar	4
4060	disbelief	5
4061	disc	1
4062	discard	2
4063	discharg	3
4064	disciplin	13
4065	disciplinari	6
4066	disclos	12
4067	disclosur	7
4068	discomfort	4
4069	discont	2
4070	discontinu	1
4071	discord	2
4072	discothequ	1
4073	discount	1
4074	discourag	7
4075	discov	37
4076	discoveri	12
4077	discovi	1
4078	discredit	10
4079	discreet	1
4080	discrep	4
4081	discret	4
4082	discrimin	2
4083	discuss	75
4084	disdain	4
4085	diseas	9
4086	disenfranchis	3
4087	disgaz	1
4088	disgrac	12
4089	disgruntl	5
4090	disguis	9
4091	disgust	1
4092	dish	1
4093	dishdasha	1
4094	dishearten	2
4095	dishonor	2
4096	disillus	2
4097	disinfect	5
4098	disinform	1
4099	disintegr	10
4100	dislik	1
4101	disloc	2
4102	dislodg	2
4103	dismal	1
4104	dismantl	8
4105	dismay	3
4106	dismemb	1
4107	dismiss	31
4108	disobedi	14
4109	disord	3
4110	disori	2
4111	dispar	4
4112	disparag	2
4113	dispatch	26
4114	dispel	2
4115	dispens	1
4116	dispers	13
4117	displac	2
4118	display	29
4119	displeas	1
4120	displeasur	1
4121	dispos	12
4122	disposit	1
4123	disprov	2
4124	disput	33
4125	disqualifi	6
4126	disquiet	1
4127	disregard	5
4128	disreput	1
4129	disrespect	2
4130	disrupt	9
4131	dissect	1
4132	dissemin	4
4133	dissent	5
4134	dissid	6
4135	dissip	1
4136	dissolv	12
4137	dissuas	1
4138	distanc	15
4139	distant	7
4140	distinct	7
4141	distinctli	1
4142	distinguish	7
4143	distort	5
4144	distract	8
4145	distraught	13
4146	distress	4
4147	distribut	26
4148	district	37
4149	distrust	1
4150	disturb	9
4151	disun	2
4152	ditch	2
4153	dive	21
4154	diver	67
4155	divers	8
4156	diversifi	1
4157	divert	8
4158	divid	33
4159	divis	26
4160	divorc	3
4161	divulg	4
4162	dixvil	1
4163	dizzi	2
4164	djahouri	1
4165	djibouti	20
4166	djikal	1
4167	djila	1
4168	djindjic	17
4169	djindjickostunica	1
4170	djukanov	3
4171	djuro	1
4172	dk	1
4173	dmass	3
4174	dmich	1
4175	dmitri	12
4176	dmo	1
4177	dmon	1
4178	dna	5
4179	dnevnik	1
4180	dni	2
4181	doan	1
4182	dobrica	1
4183	dochterman	1
4184	dock	42
4185	docksid	2
4186	doctor	51
4187	doctrin	1
4188	document	44
4189	documentari	1
4190	dodg	1
4191	dodgi	3
4192	doe	93
4193	doer	1
4194	doesnt	43
4195	dog	32
4196	dogged	1
4197	doggedli	1
4198	doha	1
4199	dokic	9
4200	doll	1
4201	dollar	36
4202	dolphin	1
4203	domain	1
4204	dome	2
4205	domest	16
4206	domin	38
4207	dominican	1
4208	dominik	16
4209	dominikov	4
4210	dominion	2
4211	dominiqu	1
4212	domino	2
4213	dominolik	1
4214	don	5
4215	donald	35
4216	donaldson	2
4217	donat	19
4218	dong	1
4219	donkey	1
4220	donna	2
4221	donor	11
4222	donoth	1
4223	dont	206
4224	dooda	1
4225	doom	9
4226	door	47
4227	doortodoor	1
4228	doorway	2
4229	dopher	1
4230	dora	1
4231	dorcol	1
4232	doreen	1
4233	dori	1
4234	dormitori	1
4235	dorothi	3
4236	dose	1
4237	doss	1
4238	dostoyevski	1
4239	dot	3
4240	doubl	35
4241	doublecheck	1
4242	doubled	1
4243	doubledigit	1
4244	doublefault	11
4245	doubt	50
4246	doudou	1
4247	doug	1
4248	dougal	9
4249	dougherti	2
4250	dougla	1
4251	dour	2
4252	dove	1
4253	dover	24
4254	dow	2
4255	downbeat	1
4256	downcorrect	1
4257	downfal	19
4258	downplay	3
4259	downpour	1
4260	downstair	2
4261	downthemiddl	1
4262	downtown	29
4263	dows	1
4264	doyal	1
4265	doze	1
4266	dozen	112
4267	dozo	1
4268	dr	8
4269	draconian	2
4270	draft	16
4271	drag	15
4272	dragan	6
4273	dragana	1
4274	dragesa	1
4275	dragisha	1
4276	dragoljub	8
4277	dragomir	2
4278	dragon	2
4279	drain	8
4280	drama	13
4281	draman	15
4282	dramat	33
4283	drape	12
4284	draper	2
4285	draskov	4
4286	drastic	1
4287	draw	48
4288	drawn	17
4289	dread	1
4290	dream	20
4291	dress	24
4292	dresser	1
4293	drew	23
4294	drexel	1
4295	dri	16
4296	driedup	1
4297	drift	3
4298	drill	8
4299	drink	13
4300	drip	1
4301	drissa	3
4302	drive	61
4303	driven	16
4304	driver	24
4305	driveway	1
4306	drizzl	1
4307	drizzli	1
4308	drop	51
4309	dropin	1
4310	drought	2
4311	drove	22
4312	drown	6
4313	drub	1
4314	drudg	1
4315	drug	41
4316	drugli	1
4317	drugmak	1
4318	drum	1
4319	drumbeat	2
4320	drummer	2
4321	drunk	3
4322	drunken	1
4323	drydock	1
4324	dsd	2
4325	dsedalia	1
4326	du	1
4327	dual	1
4328	duan	1
4329	dub	3
4330	dubai	5
4331	dubiou	1
4332	duboc	1
4333	duc	7
4334	duck	2
4335	duct	6
4336	dudley	12
4337	duel	3
4338	duffel	2
4339	duffi	4
4340	duffl	1
4341	dug	21
4342	duglon	1
4343	duguid	2
4344	dugup	1
4345	duke	1
4346	dull	1
4347	duluth	1
4348	duma	1
4349	dump	12
4350	duo	1
4351	duopoli	1
4352	dupe	1
4353	duplic	1
4354	durango	2
4355	dure	281
4356	duress	1
4357	dusan	1
4358	dusk	2
4359	dust	13
4360	dusti	11
4361	dutch	3
4362	duti	27
4363	duval	1
4364	dwarf	1
4365	dwell	2
4366	dwi	1
4367	dwight	2
4368	dwindl	11
4369	dwva	3
4370	dwyer	1
4371	dy	5
4372	dye	2
4373	dygalo	2
4374	dynam	4
4375	dynamit	4
4376	dynamitetip	4
4377	dynasti	1
4378	dysfunct	1
4379	e	9
4380	eager	18
4381	eagl	1
4382	eagleton	1
4383	eaker	1
4384	eantwar	1
4385	ear	7
4386	eardrum	2
4387	earli	180
4388	earlier	188
4389	earliest	7
4390	earlyseason	1
4391	earmark	8
4392	earn	22
4393	earnest	5
4394	earshot	1
4395	earth	29
4396	earthmov	3
4397	earthquak	110
4398	earthquakedriven	1
4399	earthquakeravag	1
4400	earthquakestricken	1
4401	earthquaketrigg	2
4402	eas	27
4403	easi	34
4404	easier	12
4405	easiest	2
4406	easili	25
4407	easley	1
4408	east	127
4409	eastern	40
4410	eat	15
4411	eaten	2
4412	eavesdrop	1
4413	eb	3
4414	ebb	5
4415	ebri	1
4416	eccel	1
4417	echeverria	1
4418	echo	28
4419	eclips	2
4420	ecolog	1
4421	ecologist	1
4422	ecommerc	1
4423	econolin	1
4424	econom	83
4425	economi	73
4426	economist	11
4427	ecstat	1
4428	ecuador	10
4429	ecuadorian	1
4430	ed	12
4431	edberg	1
4432	edg	46
4433	edgar	1
4434	edict	1
4435	edific	1
4436	edikipa	1
4437	edinburgh	1
4438	edit	16
4439	editor	16
4440	editori	16
4441	editorinchief	1
4442	edmond	32
4443	edmund	25
4444	edmundo	1
4445	edt	13
4446	eduard	1
4447	eduardo	1
4448	educ	37
4449	edward	6
4450	edwardo	1
4451	edwin	2
4452	eeri	2
4453	eerili	1
4454	effect	76
4455	effici	4
4456	effort	185
4457	effortlessli	1
4458	egg	5
4459	egoavil	3
4460	egotist	2
4461	egregi	1
4462	egypt	26
4463	egyptian	31
4464	ehud	8
4465	eightday	2
4466	eighteenmonthold	1
4467	eighth	15
4468	eighthcenturi	1
4469	eighthseed	6
4470	eighti	2
4471	eightman	1
4472	eightmemb	1
4473	eightmonth	1
4474	eightvolum	1
4475	eightyear	3
4476	eightyseven	2
4477	eightyyearold	1
4478	eisenhow	3
4479	eject	2
4480	ekra	1
4481	el	68
4482	elabor	24
4483	elana	1
4484	elast	1
4485	elat	1
4486	elattar	1
4487	elayn	1
4488	elbaum	1
4489	elbow	7
4490	elder	6
4491	elderli	5
4492	eldest	3
4493	elect	297
4494	electionday	1
4495	electionnight	1
4496	elector	79
4497	electr	42
4498	electrician	3
4499	electricpow	1
4500	electrifi	1
4501	electrocut	1
4502	electron	11
4503	eleg	5
4504	element	21
4505	elementari	2
4506	elena	6
4507	elev	4
4508	elia	4
4509	eliac	1
4510	elier	1
4511	elig	10
4512	elimin	32
4513	elit	7
4514	elizabeth	7
4515	ellen	5
4516	elli	2
4517	elliot	2
4518	ellips	2
4519	ellipt	1
4520	ellwood	1
4521	elmisri	1
4522	elnhandcount	1
4523	elnleg	1
4524	elnmilitari	1
4525	elnrdp	1
4526	elong	1
4527	els	34
4528	elsewher	55
4529	elsheikh	3
4530	elsirri	1
4531	elton	1
4532	elud	12
4533	elus	4
4534	em	2
4535	email	7
4536	eman	1
4537	emanuel	1
4538	embargo	31
4539	embark	4
4540	embarrass	10
4541	embassi	116
4542	embattl	9
4543	embed	1
4544	embellish	1
4545	emblemat	1
4546	embrac	20
4547	embroil	1
4548	emerg	109
4549	emerson	2
4550	emigr	7
4551	emil	5
4552	emili	2
4553	emilio	2
4554	emin	2
4555	emir	7
4556	emiss	1
4557	emissari	1
4558	emit	1
4559	emkne	1
4560	emmanuel	3
4561	emot	47
4562	empathet	1
4563	empathi	1
4564	emperor	4
4565	emphas	9
4566	emphasi	7
4567	emphat	5
4568	empir	6
4569	employ	19
4570	employe	50
4571	empow	2
4572	empti	14
4573	emul	3
4574	en	32
4575	enabl	10
4576	enact	4
4577	encircl	1
4578	enclos	1
4579	encor	1
4580	encount	15
4581	encourag	33
4582	end	267
4583	endang	5
4584	enddat	2
4585	endear	1
4586	endeavor	3
4587	endem	1
4588	endoftheyear	2
4589	endors	12
4590	endur	18
4591	enemi	46
4592	energ	3
4593	energet	1
4594	energi	29
4595	enforc	44
4596	engag	25
4597	engend	2
4598	engin	49
4599	engineerman	1
4600	engineman	1
4601	engineroom	2
4602	england	2
4603	english	13
4604	englishderiv	1
4605	englishlanguag	3
4606	englishspeak	4
4607	engrav	1
4608	engulf	7
4609	enhanc	5
4610	enigmat	1
4611	enjoin	1
4612	enjoy	19
4613	enlarg	4
4614	enlist	12
4615	enmesh	1
4616	enmiti	2
4617	enorm	27
4618	enqvist	1
4619	enrag	2
4620	enrich	1
4621	ensembl	2
4622	ensign	4
4623	ensnar	2
4624	ensu	9
4625	ensul	1
4626	ensur	34
4627	entail	1
4628	entangl	1
4629	enter	64
4630	enterpris	4
4631	entertain	5
4632	enthusiasm	8
4633	enthusiast	7
4634	entic	3
4635	entir	44
4636	entireti	1
4637	entiti	2
4638	entitl	6
4639	entomb	4
4640	entourag	3
4641	entranc	7
4642	entrench	2
4643	entrepreneur	2
4644	entrepreneuri	2
4645	entrepreneurship	5
4646	entri	3
4647	entrust	1
4648	envelop	1
4649	envi	1
4650	environ	8
4651	environment	11
4652	environmentalist	3
4653	envis	2
4654	envisag	1
4655	envoy	7
4656	epa	1
4657	epicent	31
4658	epicmra	2
4659	epidem	2
4660	epiphani	1
4661	episcop	3
4662	episod	2
4663	equal	20
4664	equanim	1
4665	equip	88
4666	equival	12
4667	er	2
4668	era	43
4669	eras	11
4670	erect	7
4671	erena	1
4672	eri	3
4673	eric	6
4674	erinson	1
4675	erlang	1
4676	ernesto	3
4677	erni	4
4678	erod	8
4679	eros	4
4680	errand	1
4681	errat	8
4682	erron	3
4683	error	47
4684	errorpron	1
4685	errrr	1
4686	erupt	18
4687	es	5
4688	esam	1
4689	escal	9
4690	escap	85
4691	escape	28
4692	escort	10
4693	escud	3
4694	especi	74
4695	espehello	1
4696	espi	6
4697	espionag	34
4698	espitia	1
4699	espo	1
4700	espous	1
4701	essay	3
4702	essenc	3
4703	essenti	16
4704	est	1
4705	establish	49
4706	estat	18
4707	estim	63
4708	estrada	1
4709	estrang	1
4710	et	3
4711	etar	1
4712	etcetera	1
4713	ethan	2
4714	ethic	7
4715	ethiopia	1
4716	ethnic	34
4717	ethnocentr	2
4718	etoge	1
4719	eu	8
4720	eugen	4
4721	eulog	3
4722	euphor	1
4723	euphoria	6
4724	europ	50
4725	european	52
4726	evacu	24
4727	evad	7
4728	evalu	11
4729	evan	5
4730	evanel	1
4731	evapor	3
4732	evas	14
4733	eve	62
4734	evelyn	2
4735	evenh	1
4736	evenhand	4
4737	evenli	5
4738	event	85
4739	eventu	44
4740	everett	1
4741	everi	92
4742	evershrink	2
4743	eversinc	1
4744	evert	11
4745	everworsen	1
4746	everybodi	20
4747	everyday	10
4748	everyon	57
4749	everyth	77
4750	everywher	18
4751	evi	4
4752	evict	2
4753	evid	130
4754	evidenc	1
4755	evidencegath	1
4756	evil	2
4757	evoc	1
4758	evok	1
4759	evolut	3
4760	ewe	4
4761	ex	1
4762	exacerb	1
4763	exact	8
4764	exactli	37
4765	exagger	4
4766	exalt	1
4767	exam	4
4768	examin	47
4769	exampl	40
4770	exasper	2
4771	excabinet	1
4772	excav	12
4773	exceed	5
4774	exceedingli	1
4775	excel	5
4776	excerpt	5
4777	excess	1
4778	exchang	23
4779	excia	2
4780	excit	9
4781	exclaim	1
4782	exclam	2
4783	exclud	20
4784	exclus	20
4785	exclusion	2
4786	exclusionari	1
4787	excruci	1
4788	excus	7
4789	execut	71
4790	exemplari	1
4791	exemplifi	1
4792	exempt	2
4793	exercis	22
4794	exhaust	26
4795	exhibit	3
4796	exhilar	1
4797	exhort	2
4798	exhous	1
4799	exhusband	3
4800	exil	41
4801	exintellig	7
4802	exintern	1
4803	exist	20
4804	exit	25
4805	exlead	1
4806	exnew	3
4807	exocet	1
4808	exodu	3
4809	exoner	1
4810	expand	18
4811	expans	5
4812	expatri	3
4813	expect	187
4814	expectantli	1
4815	expedi	2
4816	expedit	4
4817	expel	5
4818	expenditur	2
4819	expens	21
4820	experi	46
4821	experienc	8
4822	expert	118
4823	expertis	8
4824	expir	9
4825	explain	34
4826	explan	13
4827	explicit	4
4828	explicitli	6
4829	explod	43
4830	exploit	7
4831	explor	13
4832	explos	222
4833	explosivesladen	3
4834	explosivespack	1
4835	export	19
4836	exportimport	1
4837	expos	8
4838	expossess	2
4839	expresid	7
4840	express	74
4841	expressnew	1
4842	expuls	1
4843	exquisit	1
4844	exsaudi	1
4845	exspi	11
4846	extend	38
4847	extens	34
4848	extent	27
4849	exterior	3
4850	extern	14
4851	extinct	2
4852	extinguish	2
4853	extol	2
4854	extort	4
4855	extra	20
4856	extract	6
4857	extradit	32
4858	extraleg	1
4859	extraordinari	12
4860	extraordinarili	2
4861	extravag	2
4862	extrem	21
4863	extremist	17
4864	extric	2
4865	exuber	1
4866	exud	1
4867	exult	1
4868	exwif	9
4869	eyadema	1
4870	eyal	1
4871	eye	61
4872	eyebal	1
4873	eyelid	1
4874	eyesburn	1
4875	eyewit	10
4876	eyewitnesss	1
4877	f	15
4878	f105	5
4879	f105d	1
4880	f22	1
4881	fa	1
4882	faa	1
4883	fabiani	1
4884	fabric	5
4885	facad	4
4886	face	178
4887	faceoff	2
4888	facetofac	1
4889	facial	1
4890	facil	45
4891	facilit	4
4892	fact	108
4893	factbook	4
4894	factfind	1
4895	faction	13
4896	facto	2
4897	factor	23
4898	factori	20
4899	factual	1
4900	fade	23
4901	fadeyev	1
4902	fagan	1
4903	fahrenheit	1
4904	fail	115
4905	failur	16
4906	faint	6
4907	faintli	1
4908	fair	45
4909	fairfax	1
4910	fairleigh	1
4911	fairli	16
4912	fairskin	1
4913	faisal	1
4914	faith	8
4915	faithbas	1
4916	faithless	1
4917	fake	10
4918	fall	67
4919	fallen	27
4920	fallout	1
4921	faln	1
4922	fals	30
4923	falsif	1
4924	falsifi	5
4925	falter	4
4926	fame	6
4927	famili	213
4928	familiar	17
4929	famou	4
4930	fan	10
4931	fanci	1
4932	fanfar	2
4933	far	177
4934	faraway	3
4935	farc	2
4936	fare	1
4937	farera	1
4938	farewel	16
4939	farflung	3
4940	farid	1
4941	farina	3
4942	farinella	1
4943	farm	9
4944	farmer	8
4945	farmington	1
4946	farrier	1
4947	farther	2
4948	farthest	2
4949	fascin	5
4950	fascist	3
4951	fashion	7
4952	faso	8
4953	fast	22
4954	faster	11
4955	fastest	2
4956	fastfad	1
4957	fastfood	1
4958	fat	2
4959	fatal	8
4960	fatalist	1
4961	fate	32
4962	father	76
4963	fatherinlaw	1
4964	fatherless	1
4965	fatigu	7
4966	fatwa	1
4967	fault	20
4968	faulti	1
4969	favor	48
4970	favorit	14
4971	faw	1
4972	fax	14
4973	fay	1
4974	fayettevil	1
4975	fbi	116
4976	fbile	1
4977	fbiyemeni	1
4978	fda	1
4979	fear	107
4980	fearless	4
4981	fearmong	1
4982	feasibl	4
4983	feast	1
4984	feat	8
4985	featur	19
4986	feb	2
4987	februari	3
4988	fed	15
4989	feder	138
4990	federalist	1
4991	federico	11
4992	fee	5
4993	feed	14
4994	feel	118
4995	feet	61
4996	fehn	2
4997	feign	1
4998	feingold	1
4999	feinstein	3
5000	felix	9
5001	fell	66
5002	fellow	38
5003	fellowstud	1
5004	felon	4
5005	feloni	13
5006	felt	80
5007	femal	13
5008	feminist	1
5009	fenc	6
5010	fend	2
5011	ferdinand	1
5012	ferment	1
5013	fernand	5
5014	fernandez	1
5015	fernando	4
5016	feroci	1
5017	ferraro	1
5018	ferreira	3
5019	ferrer	1
5020	ferrero	12
5021	ferret	2
5022	ferri	4
5023	fertil	3
5024	fervor	5
5025	fest	1
5026	festiv	8
5027	fetch	1
5028	fever	6
5029	feverish	1
5030	fewer	17
5031	fewest	1
5032	fhimah	1
5033	fiance	1
5034	fiberglass	9
5035	fiction	2
5036	fictiti	3
5037	fidel	5
5038	fidelia	2
5039	fidget	2
5040	fie	1
5041	fiefdom	2
5042	field	49
5043	fierc	16
5044	fieri	3
5045	fierrera	1
5046	fife	2
5047	fifteenth	1
5048	fifth	34
5049	fifthseed	2
5050	fifthset	1
5051	fifti	1
5052	fiftythre	1
5053	fight	76
5054	fighter	14
5055	figur	93
5056	fijimori	1
5057	file	40
5058	filipov	1
5059	fillmor	1
5060	film	8
5061	filter	1
5062	filth	1
5063	final	198
5064	finalhour	1
5065	finalist	5
5066	financ	39
5067	financi	62
5068	fine	43
5069	finest	5
5070	finger	10
5071	fingerpoint	3
5072	fingerprint	5
5073	fingertip	1
5074	finish	56
5075	finit	2
5076	fink	3
5077	finland	2
5078	finsburi	1
5079	fir	4
5080	firearm	12
5081	firebal	1
5082	firebomb	1
5083	firebreath	1
5084	firecrack	2
5085	firefight	6
5086	fireman	4
5087	firepow	2
5088	fireston	1
5089	firestorm	1
5090	firework	5
5091	firm	32
5092	firmer	1
5093	firmli	11
5094	firstclass	1
5095	firstdegre	1
5096	firsthand	1
5097	firstli	1
5098	firstround	16
5099	firstset	4
5100	firstterm	2
5101	firsttim	2
5102	fiscal	3
5103	fischer	2
5104	fish	10
5105	fisheri	1
5106	fisherman	2
5107	fishermen	5
5108	fissur	1
5109	fist	7
5110	fit	27
5111	fitcher	1
5112	fitter	1
5113	fittingli	1
5114	fitzgerald	7
5115	fivecandid	10
5116	fiveday	4
5117	fiveinch	1
5118	fivememb	3
5119	fiveminut	2
5120	fiveset	6
5121	fivesett	2
5122	fivestori	3
5123	fiveterm	4
5124	fivetim	1
5125	fivevot	1
5126	fiveweek	3
5127	fiveyear	23
5128	fiveyearold	1
5129	fix	15
5130	fizzl	1
5131	fla	14
5132	flabas	2
5133	flabbergast	1
5134	flag	36
5135	flagdrap	6
5136	flagrant	2
5137	flagwav	4
5138	flair	2
5139	flak	1
5140	flake	3
5141	flaku	3
5142	flame	9
5143	flank	6
5144	flare	2
5145	flareup	1
5146	flash	3
5147	flashbulb	1
5148	flashlight	1
5149	flashpoint	3
5150	flat	11
5151	flatb	1
5152	flatfoot	1
5153	flatli	1
5154	flatout	1
5155	flatten	23
5156	flatter	1
5157	flatwar	1
5158	flaw	15
5159	flawless	2
5160	flawlessli	1
5161	flea	1
5162	fled	71
5163	fledgl	2
5164	flee	36
5165	fleet	71
5166	fleischer	1
5167	flesh	2
5168	fletchal	1
5169	fletcher	4
5170	flew	33
5171	flex	1
5172	flexibl	2
5173	flfing	1
5174	fli	49
5175	flier	1
5176	flight	49
5177	flimsi	1
5178	fling	1
5179	flint	1
5180	flintoff	2
5181	flip	3
5182	flipflop	4
5183	float	15
5184	floater	1
5185	flood	36
5186	floodcontrol	2
5187	floodlight	1
5188	floodlit	2
5189	floor	37
